ax,ay,az,gx,gy,gz,target,target_name
0.11,-0.03,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.01,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.03,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.1,-0.02,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.03,9.62,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.01,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,0.0,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.14,-0.01,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.62,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.69,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.69,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.0,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.02,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.04,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.04,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.01,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.05,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.1,-0.02,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.14,-0.01,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.1,-0.02,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.02,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.04,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.1,-0.03,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.03,9.61,-0.02,-0.05,-0.05,0.0,quiet
0.11,-0.03,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.03,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.01,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.01,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.01,9.68,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.03,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.0,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.65,-0.02,-0.05,-0.06,0.0,quiet
-0.05,0.0,9.66,-0.02,-0.09,-0.05,0.0,quiet
-0.17,-0.12,9.67,0.01,-0.08,-0.06,0.0,quiet
0.11,0.11,9.87,0.06,-0.13,-0.09,0.0,quiet
0.29,0.07,9.62,-0.03,-0.1,-0.11,0.0,quiet
0.32,0.0,9.55,-0.03,-0.05,-0.07,0.0,quiet
0.27,-0.09,9.64,-0.03,-0.03,-0.07,0.0,quiet
0.02,-0.2,9.48,-0.01,0.0,-0.08,0.0,quiet
0.13,-0.01,9.62,0.03,0.06,-0.1,0.0,quiet
0.21,0.01,9.68,-0.05,-0.03,-0.11,0.0,quiet
0.08,0.25,9.78,-0.05,-0.05,-0.07,0.0,quiet
0.11,0.13,9.79,-0.02,-0.05,-0.06,0.0,quiet
0.11,0.03,9.7,-0.0,-0.05,-0.06,0.0,quiet
0.12,-0.07,9.64,-0.01,-0.05,-0.06,0.0,quiet
0.13,-0.06,9.64,-0.03,-0.05,-0.06,0.0,quiet
